ID,Category,Type,Item,Description,Priority,Status,Strapi Status,Frontend Issue,SOW Reference,Effort,Impact,Action Required
,,,,,,,,,,,,
,,,EXISTING STRAPI CONTENT TYPES,,,,,,,,
CT-001,Content Type,Collection,Product,Main product catalog with Medusa sync,N/A,Implemented,Complete,,DTC Storefront Development,N/A,Core,"None - extend for schema fields"
CT-002,Content Type,Collection,Aisle,Top-level product categorization,N/A,Implemented,Partial,,DTC Storefront Development,Low,SEO,"Add Description, Image, SEO component"
CT-003,Content Type,Collection,ProductType,2nd-level product categorization,N/A,Implemented,Partial,,DTC Storefront Development,Low,SEO,"Add Description, Image, SEO component"
CT-004,Content Type,Collection,MasterCategory,3rd-level product categorization,N/A,Implemented,Partial,,DTC Storefront Development,Low,SEO,"Add Description, Image, SEO component"
CT-005,Content Type,Collection,Category,4th-level product categorization,N/A,Implemented,Partial,,DTC Storefront Development,Low,SEO,"Add Description, Image, SEO component"
CT-006,Content Type,Collection,SubCategory,5th-level product categorization,N/A,Implemented,Partial,,DTC Storefront Development,Low,SEO,"Add Description, Image, SEO component"
CT-007,Content Type,Collection,ProductTag,Product tagging system,N/A,Implemented,Complete,,DTC Storefront Development,N/A,Filtering,None
CT-008,Content Type,Collection,ProductCollection,Product grouping/collections,N/A,Implemented,Partial,,DTC Storefront Development,Medium,SEO,"Add Description, HeroImage, SEO component"
CT-009,Content Type,Collection,Recipe,Recipe content management,N/A,Implemented,Partial,,Content Strategy,Medium,SEO,"Add SEO, Categories, Ratings, Video"
CT-010,Content Type,Collection,ShippingZone,Shipping rates by location,N/A,Implemented,Complete,,Shipping System,N/A,Shipping,None
CT-011,Content Type,Single,Global,Site-wide settings,N/A,Implemented,Partial,,Infrastructure,Medium,SEO,"Add Organization schema fields"
CT-012,Content Type,Single,Home,Homepage page builder,N/A,Implemented,Partial,,DTC Storefront UI/UX,Low,Conversion,"Add Newsletter section to dynamic zone"
CT-013,Content Type,Single,Header,Navigation structure,N/A,Implemented,Partial,,DTC Storefront UI/UX,Low,UX,"Add contact info fields"
CT-014,Content Type,Single,Checkout,Checkout configuration,N/A,Implemented,Complete,,DTC Storefront Development,N/A,Checkout,None
CT-015,Content Type,Single,ShippingSetting,Plant pickup settings,N/A,Implemented,Partial,,Shipping System,Medium,Shipping,"Add UPS API config fields"
CT-016,Content Type,Single,PDP,Product detail page config,N/A,Implemented,Complete,,DTC Storefront UI/UX,N/A,PDP,None
,,,,,,,,,,,,
,,,EXISTING STRAPI COMPONENTS,,,,,,,,
